Time Prey Predators Resource
0.000000000000000000e+00 4.000000000000000000e+01 9.000000000000000000e+00 5.000000000000000000e+01
1.000000000000000056e-01 5.964000000000000057e+01 9.314999999999999503e+00 4.900000000000000000e+01
2.000000000000000111e-01 8.830805340000000569e+01 9.823971600000000137e+00 4.754372000000000043e+01
3.000000000000000444e-01 1.294254512372936006e+02 1.064238755065288444e+01 4.545615138655883669e+01
4.000000000000000222e-01 1.868798844734692466e+02 1.196657142388502493e+01 4.253521452124580549e+01
5.000000000000000000e-01 2.641333327460765759e+02 1.414305005200475129e+01 3.859247815852287289e+01
6.000000000000000888e-01 3.623332805500541554e+02 1.780798574717531579e+01 3.353972267480347114e+01
7.000000000000000666e-01 4.774064321092972705e+02 2.417137171420208119e+01 2.751865111571692424e+01
8.000000000000000444e-01 5.972426742361819834e+02 3.559008318489587452e+01 2.101172623256517724e+01
9.000000000000000222e-01 7.014777534331042261e+02 5.666804922660678301e+01 1.479808581707289505e+01
1.000000000000000000e+00 7.655316575108932966e+02 9.613608484339043514e+01 9.659913914738025298e+00
1.100000000000000089e+00 7.658861402397442362e+02 1.692506207959420408e+02 6.001397135346728362e+00
1.200000000000000178e+00 6.822233044255251571e+02 2.980310723865469527e+02 3.729609000247565476e+00
1.300000000000000044e+00 5.043438231641329139e+02 4.998646600496471706e+02 2.474652958737293851e+00
1.400000000000000133e+00 2.647209287921942291e+02 7.494689904634776667e+02 1.862375865697361466e+00
1.500000000000000000e+00 7.125090022502996590e+01 9.441217727676003051e+02 1.624835966175548929e+00
1.600000000000000089e+00 5.139084246367403352e+00 1.006670690135504969e+03 1.574810624160721817e+00
1.700000000000000178e+00 4.664960610859125723e-02 1.006810702169782644e+03 1.578390132196510365e+00
1.800000000000000044e+00 4.185962059832515347e-04 1.001823615981615831e+03 1.585996135677575136e+00
1.900000000000000133e+00 5.875560919912480983e-06 9.968149172612725124e+02 1.593674246035742037e+00
2.000000000000000000e+00 1.123514488571406264e-07 9.918308485318128760e+02 1.601388632823807834e+00
2.100000000000000089e+00 2.716999334195347301e-09 9.868716944005874439e+02 1.609139131342633977e+00
2.200000000000000178e+00 7.938989705757301978e-11 9.819373359312658067e+02 1.616925894122759333e+00
2.300000000000000266e+00 2.717668843843638632e-12 9.770276492516874214e+02 1.624749078658600521e+00
2.400000000000000355e+00 1.065865413998781758e-13 9.721425110054316292e+02 1.632608843095031181e+00
2.500000000000000000e+00 4.709374704459741690e-15 9.672817984504046080e+02 1.640505346147051124e+00
2.600000000000000089e+00 2.313398145498384591e-16 9.624453894581525901e+02 1.648438747098712742e+00
2.700000000000000178e+00 1.250137177874822676e-17 9.576331625108617800e+02 1.656409205803912599e+00
2.800000000000000266e+00 7.367174595364815230e-19 9.528449966983074546e+02 1.664416882687224986e+00
2.900000000000000355e+00 4.700196401108698917e-20 9.480807717148159099e+02 1.672461938744723708e+00
3.000000000000000000e+00 3.226395657891558954e-21 9.433403678562418690e+02 1.680544535544792328e+00
3.100000000000000089e+00 2.370274070501046180e-22 9.386236660169606694e+02 1.688664835228921302e+00
3.200000000000000178e+00 1.855047177095101376e-23 9.339305476868759115e+02 1.696823000512492019e+00
3.300000000000000266e+00 1.540388181769875418e-24 9.292608949484415461e+02 1.705019194685547745e+00
3.400000000000000355e+00 1.352295955822422827e-25 9.246145904736993089e+02 1.713253581613550791e+00
3.500000000000000000e+00 1.251116433275764073e-26 9.199915175213308203e+02 1.721526325738127472e+00
3.600000000000000089e+00 1.216382259949969920e-27 9.153915599337241247e+02 1.729837592077797082e+00
