Time Prey Predators Resource
0.000000000000000000e+00 4.000000000000000000e+01 9.000000000000000000e+00 5.000000000000000000e+01
1.000000000000000056e-01 5.992799999999999727e+01 8.945999999999999730e+00 4.979999999999999716e+01
2.000000000000000111e-01 8.966492082239999206e+01 8.910151588799999800e+00 4.950255456000000009e+01
3.000000000000000444e-01 1.338915615663443077e+02 8.900942876584533536e+00 4.906115277849053058e+01
4.000000000000000222e-01 1.993419529156834642e+02 8.931109561934562180e+00 4.840887143541183235e+01
5.000000000000000000e-01 2.954850736551198906e+02 9.019832948493213820e+00 4.745158201218594485e+01
6.000000000000000888e-01 4.351643705137187226e+02 9.196157219322520504e+00 4.606155123810867735e+01
7.000000000000000666e-01 6.348074620143900120e+02 9.504379643878463568e+00 4.407525774911142946e+01
8.000000000000000444e-01 9.133937968838747565e+02 1.001268095941485115e+01 4.130344095235757607e+01
9.000000000000000222e-01 1.288827760306601476e+03 1.082710621767138370e+01 3.756673005808459465e+01
1.000000000000000000e+00 1.770207350923215472e+03 1.211426266120697903e+01 3.277173333136893518e+01
1.100000000000000089e+00 2.346046032017285143e+03 1.413759571598323284e+01 2.702691702290307774e+01
1.200000000000000178e+00 2.973476456343357768e+03 1.731296479199810534e+01 2.074836703971708474e+01
1.300000000000000044e+00 3.580128326705349082e+03 2.228780446392890724e+01 1.463958131141725971e+01
1.400000000000000133e+00 4.088285484126184656e+03 3.004424642942780110e+01 9.450189509465868554e+00
1.500000000000000000e+00 4.450070318752304956e+03 4.202674962102749134e+01 5.625002589457629654e+00
1.600000000000000089e+00 4.662982491198373282e+03 6.030868123303413597e+01 3.146797830366751203e+00
1.700000000000000178e+00 4.753473458130404651e+03 8.782742688639400797e+01 1.694195267225945711e+00
1.800000000000000044e+00 4.750509511966818536e+03 1.286976868775663547e+02 8.970479902368582170e-01
1.900000000000000133e+00 4.670847944933926556e+03 1.885486685767913002e+02 4.753092596472724418e-01
2.000000000000000000e+00 4.516912485491855477e+03 2.747313980052167608e+02 2.556534861931252234e-01
2.100000000000000089e+00 4.280272593368028538e+03 3.960778522058041631e+02 1.414487753790658608e-01
2.200000000000000178e+00 3.947262751406918142e+03 5.616491912474037917e+02 8.161008681830697609e-02
2.300000000000000266e+00 3.507088729571548356e+03 7.777303925317995663e+02 4.980382564807266793e-02
2.400000000000000355e+00 2.963321495069041248e+03 1.042710038035834714e+03 3.258595317221790050e-02
2.500000000000000000e+00 2.346310107856597369e+03 1.341271444539061122e+03 2.309251120638992211e-02
2.600000000000000089e+00 1.717444180240906917e+03 1.642562604863812339e+03 1.778970119008004697e-02
2.700000000000000178e+00 1.153547791147738280e+03 1.908237937455644214e+03 1.482333617097083243e-02
2.800000000000000266e+00 7.134700538674578638e+02 2.109279923854715435e+03 1.318748820894978524e-02
2.900000000000000355e+00 4.125825304678517682e+02 2.238677930705585368e+03 1.231252046672842021e-02
3.000000000000000000e+00 2.279054486657488496e+02 2.308655091953834017e+03 1.186607482418603442e-02
3.100000000000000089e+00 1.227014771875750654e+02 2.338184048488916233e+03 1.165495680726304391e-02
3.200000000000000178e+00 6.533605065454021599e+01 2.343492071672628754e+03 1.157020996581668501e-02
3.300000000000000266e+00 3.472070683212106701e+01 2.335368602626233951e+03 1.155245244622887628e-02
3.400000000000000355e+00 1.850758820592169585e+01 2.320123481459644154e+03 1.157009043108651533e-02
3.500000000000000000e+00 9.921751554264833572e+00 2.301216235643222262e+03 1.160651404962230633e-02
3.600000000000000089e+00 5.356483971214425210e+00 2.280487282863059136e+03 1.165301745387243605e-02
3.700000000000000178e+00 2.914029447783641924e+00 2.258903949392150025e+03 1.170502704173942594e-02
3.800000000000000266e+00 1.597868010069809941e+00 2.236973161161052758e+03 1.176012759683364543e-02
3.900000000000000355e+00 8.831783506658263949e-01 2.214960868334802399e+03 1.181703529158957197e-02
4.000000000000000000e+00 4.920416188661567158e-01 2.193006880200102842e+03 1.187506284884135357e-02
4.100000000000000533e+00 2.762899180139838373e-01 2.171184716463653785e+03 1.193383975885896515e-02
4.200000000000000178e+00 1.563476005490779808e-01 2.149532856943747902e+03 1.199316499603926382e-02
4.299999999999999822e+00 8.915149067786727610e-02 2.128071135804758796e+03 1.205292892716178579e-02
4.400000000000000355e+00 5.121809323856890001e-02 2.106809396518113772e+03 1.211307159082993315e-02
4.500000000000000000e+00 2.964294530151877563e-02 2.085752093228943522e+03 1.217356023529073128e-02
4.600000000000000533e+00 1.728098686089779568e-02 2.064900755080175259e+03 1.223437713089228600e-02
4.700000000000000178e+00 1.014639651848260604e-02 2.044255315881655179e+03 1.229551290633732440e-02
4.800000000000000711e+00 5.999279065985825901e-03 2.023814836905340599e+03 1.235696287739031403e-02
4.900000000000000355e+00 3.571734397777374427e-03 2.003577902679285671e+03 1.241872500903723996e-02
5.000000000000000000e+00 2.140928338925036749e-03 1.983542839277304211e+03 1.248079877597061196e-02
5.100000000000000533e+00 1.291870928666833621e-03 1.963707835546838851e+03 1.254318452076707766e-02
5.200000000000000178e+00 7.846615573935398266e-04 1.944071010877077015e+03 1.260588308980557792e-02
5.300000000000000711e+00 4.796729134964273708e-04 1.924630453312084910e+03 1.266889562529057225e-02
5.400000000000000355e+00 2.950950633683495144e-04 1.905384241098273833e+03 1.273222344563278152e-02
5.500000000000000000e+00 1.826787388576046574e-04 1.886330454914239454e+03 1.279586797618792980e-02
5.600000000000000533e+00 1.137836204733644514e-04 1.867467184824343803e+03 1.285983070889184024e-02
5.700000000000000178e+00 7.130081737342866424e-05 1.848792534224818155e+03 1.292411317858790411e-02
5.800000000000000711e+00 4.494594860293883877e-05 1.830304622064611749e+03 1.298871694906071454e-02
5.900000000000000355e+00 2.849883101077545553e-05 1.812001584070443414e+03 1.305364360475019976e-02
6.000000000000000000e+00 1.817456575947092110e-05 1.793881573393731742e+03 1.311889474581145673e-02
6.100000000000000533e+00 1.165634633755390656e-05 1.775942760920096362e+03 1.318447198515755765e-02
6.200000000000000178e+00 7.517682385880006230e-06 1.758183335380995686e+03 1.325037694668491570e-02
6.300000000000000711e+00 4.875185728825495688e-06 1.740601503348932056e+03 1.331661126420820469e-02
6.400000000000000355e+00 3.178683816617627948e-06 1.723195489164018227e+03 1.338317658082359418e-02
6.500000000000000000e+00 2.083610502630919296e-06 1.705963534820127506e+03 1.345007454853208370e-02
6.600000000000000533e+00 1.372978042145507126e-06 1.688903899827382475e+03 1.351730682802173601e-02
6.700000000000000178e+00 9.093980378487630154e-07 1.672014861060991507e+03 1.358487508854755964e-02
6.800000000000000711e+00 6.054161716556948331e-07 1.655294712602434402e+03 1.365278100787177366e-02
6.900000000000000355e+00 4.050703902266613568e-07 1.638741765576624175e+03 1.372102627224164664e-02
7.000000000000000000e+00 2.723648167487551934e-07 1.622354347987238498e+03 1.378961257639086009e-02
7.100000000000000533e+00 1.840279258635611320e-07 1.606130804551553410e+03 1.385854162355573335e-02
7.200000000000000178e+00 1.249388453248268897e-07 1.590069496535595135e+03 1.392781512550088363e-02
7.300000000000000711e+00 8.522395719954644258e-08 1.574168801590105431e+03 1.399743480255095929e-02
7.400000000000000355e+00 5.840450745307630640e-08 1.558427113587620170e+03 1.406740238362631790e-02
7.500000000000000000e+00 4.020888985602903333e-08 1.542842842460845986e+03 1.413771960628130639e-02
7.600000000000000533e+00 2.780737489259949383e-08 1.527414414042441194e+03 1.420838821674430021e-02
7.700000000000000178e+00 1.931664882684944962e-08 1.512140269906264166e+03 1.427940996995893941e-02
7.800000000000000711e+00 1.347751061618456242e-08 1.497018867210122380e+03 1.435078662962624256e-02
7.900000000000000355e+00 9.444227209885473067e-09 1.482048678540038736e+03 1.442251996824734338e-02
8.000000000000000000e+00 6.646228414192136726e-09 1.467228191756038086e+03 1.449461176716673565e-02
8.099999999999999645e+00 4.696885019567387068e-09 1.452555909839452852e+03 1.456706381661590846e-02
8.200000000000001066e+00 3.333071599203779975e-09 1.438030350741740676e+03 1.463987791575732146e-02
8.300000000000000711e+00 2.374947932646678557e-09 1.423650047234802514e+03 1.471305587272868885e-02
8.400000000000000355e+00 1.699078412764428962e-09 1.409413546762792521e+03 1.478659950468752711e-02
8.500000000000000000e+00 1.220388822292112801e-09 1.395319411295404052e+03 1.486051063785596114e-02
8.599999999999999645e+00 8.800037356884482092e-10 1.381366217182620403e+03 1.493479110756578548e-02
8.700000000000001066e+00 6.370136761132068352e-10 1.367552555010915739e+03 1.500944275830375790e-02
8.800000000000000711e+00 4.628793522471832250e-10 1.353877029460893709e+03 1.508446744375712897e-02
8.900000000000000355e+00 3.376128306485369778e-10 1.340338259166347370e+03 1.515986702685941101e-02
9.000000000000000000e+00 2.471609335639923097e-10 1.326934876574729060e+03 1.523564337983636906e-02
9.099999999999999645e+00 1.816052975478382037e-10 1.313665527809014520e+03 1.531179838425225474e-02
9.200000000000001066e+00 1.339193807736350583e-10 1.300528872530948320e+03 1.538833393105626217e-02
9.300000000000000711e+00 9.910678447763123574e-11 1.287523583805656244e+03 1.546525192062921973e-02
9.400000000000000355e+00 7.360164712550223098e-11 1.274648347967612381e+03 1.554255426283051612e-02
9.500000000000000000e+00 5.484984311820172794e-11 1.261901864487945659e+03 1.562024287704525359e-02
9.600000000000001421e+00 4.101538693736845327e-11 1.249282845843073119e+03 1.569831969223163884e-02
9.700000000000001066e+00 3.077386180063879076e-11 1.236790017384647399e+03 1.577678664696861507e-02
9.800000000000000711e+00 2.316655591287715180e-11 1.224422117210804799e+03 1.585564568950371955e-02
