Time Prey Predators Resource
0.000000000000000000e+00 4.000000000000000000e+01 9.000000000000000000e+00 5.000000000000000000e+01
1.000000000000000056e-01 5.928000000000000114e+01 9.269999999999999574e+00 4.800000000000000000e+01
2.000000000000000111e-01 8.663534880000000271e+01 9.726825599999999739e+00 4.516416000000000253e+01
3.000000000000000444e-01 1.240781024914445538e+02 1.047224427257276957e+01 4.127318791029043155e+01
4.000000000000000222e-01 1.726903384919257576e+02 1.166689802801476894e+01 3.618810740613240284e+01
5.000000000000000000e-01 2.311541825261801648e+02 1.356498961734327224e+01 2.998875351405211731e+01
6.000000000000000888e-01 2.942032323894322303e+02 1.656494380714294579e+01 2.311673894436989229e+01
7.000000000000000666e-01 3.524665055619736904e+02 2.127275438148227948e+01 1.637786495741323378e+01
8.000000000000000444e-01 3.951971270619886809e+02 2.855796023818668061e+01 1.066028200603862786e+01
9.000000000000000222e-01 4.147542076047957380e+02 3.955840447668669668e+01 6.489306432366913846e+00
1.000000000000000000e+00 4.088548496717297667e+02 5.556983513475802283e+01 3.826074707470388692e+00
1.100000000000000089e+00 3.790579484846772971e+02 7.773413337371474086e+01 2.279431996885412648e+00
1.200000000000000178e+00 3.287668344014252853e+02 1.064225331638521936e+02 1.426272759397281265e+00
1.300000000000000044e+00 2.634795475279047992e+02 1.403465071694740516e+02 9.642895176958179437e-01
1.400000000000000133e+00 1.920633847737190081e+02 1.759214763039141758e+02 7.149474140485075901e-01
1.500000000000000000e+00 1.258603885898540256e+02 2.079503357341943968e+02 5.811558158608907121e-01
1.600000000000000089e+00 7.424641343221645684e+01 2.320435424397487623e+02 5.108833239164589646e-01
1.700000000000000178e+00 4.016892440453241164e+01 2.469515078016089262e+02 4.754803858758492874e-01
1.800000000000000044e+00 2.052036686435700830e+01 2.544017691720609662e+02 4.587356439694083576e-01
1.900000000000000133e+00 1.017366583273278025e+01 2.570781691146925141e+02 4.515948546421412746e-01
2.000000000000000000e+00 4.988754813234592689e+00 2.571228148090092418e+02 4.492380599811673925e-01
2.100000000000000089e+00 2.445720838633041350e+00 2.558343093408900302e+02 4.492229302636004395e-01
2.200000000000000178e+00 1.205308974265803190e+00 2.539016655490734422e+02 4.503501909090735222e-01
2.300000000000000266e+00 5.986771733977879206e-01 2.516686788496500355e+02 4.520388492075086972e-01
2.400000000000000355e+00 3.000468402299550363e-01 2.493026603544400075e+02 4.540079842009174249e-01
2.500000000000000000e+00 1.518041258403987626e-01 2.468844362263958772e+02 4.561211881358515630e-01
2.600000000000000089e+00 7.754038457292582176e-02 2.444530699401568654e+02 4.583117483444619222e-01
2.700000000000000178e+00 3.998579115875082468e-02 2.420274942258084820e+02 4.605467644510962688e-01
2.800000000000000266e+00 2.081462274859472231e-02 2.396168969443891967e+02 4.628098726143849428e-01
2.900000000000000355e+00 1.093588424944993628e-02 2.372257155102593913e+02 4.650928694667351149e-01
3.000000000000000000e+00 5.798200335680988964e-03 2.348560526281225975e+02 4.673916164745601787e-01
3.100000000000000089e+00 3.101815751586176929e-03 2.325088538442845447e+02 4.697040190343903521e-01
3.200000000000000178e+00 1.673985854359518691e-03 2.301844865054669356e+02 4.720290200076877607e-01
3.300000000000000266e+00 9.112364047765967364e-04 2.278830269659865735e+02 4.743660937982508985e-01
3.400000000000000355e+00 5.002483809110154153e-04 2.256044043516369015e+02 4.767149896884937399e-01
3.500000000000000000e+00 2.769166639218914117e-04 2.233484731663585308e+02 4.790756004428950998e-01
3.600000000000000089e+00 1.545454759297494596e-04 2.211150502836090368e+02 4.814478944379985692e-01
3.700000000000000178e+00 8.694487050694072784e-05 2.189039339531036319e+02 4.838318802970886789e-01
3.800000000000000266e+00 4.930038912671132087e-05 2.167149136461467833e+02 4.862275883030347523e-01
3.900000000000000355e+00 2.817184207515278319e-05 2.145477751938148856e+02 4.886350605465779040e-01
4.000000000000000000e+00 1.622108749206272062e-05 2.124023034860827863e+02 4.910543456613215008e-01
4.100000000000000533e+00 9.409949150379204043e-06 2.102782838966183192e+02 4.934854959871532998e-01
4.200000000000000178e+00 5.498969966823730113e-06 2.081755030363600838e+02 4.959285660299406762e-01
4.299999999999999822e+00 3.236739251675883634e-06 2.060937491507473283e+02 4.983836116187336240e-01
4.400000000000000355e+00 1.918727174854532625e-06 2.040328123263115856e+02 5.008506894412564359e-01
4.500000000000000000e+00 1.145370529993310248e-06 2.019924845945317600e+02 5.033298567861554940e-01
4.600000000000000533e+00 6.884230435721875842e-07 1.999725599799426732e+02 5.058211713991138669e-01
4.700000000000000178e+00 4.165737963307378675e-07 1.979728345178089626e+02 5.083246914021469776e-01
