x1 x2 x3
1.570796326794896558e+00 3.926990816987241395e-01 5.235987755982988157e-01
1.579006421858600850e+00 4.057534874234554612e-01 5.323342748098631727e-01
1.587218644414559288e+00 4.188017453158223713e-01 5.410737943615377965e-01
1.595433014046390374e+00 4.318438447168095884e-01 5.498173253287194084e-01
1.603649550159337744e+00 4.448797752314110343e-01 5.585648587011705635e-01
1.611868271980055889e+00 4.579095267273842196e-01 5.673163853844791493e-01
1.620089198556418530e+00 4.709330893339889190e-01 5.760718962015116684e-01
1.628312348757349648e+00 4.839504534407092495e-01 5.848313818938601916e-01
1.636537741272676039e+00 4.969616096959605933e-01 5.935948331232824282e-01
1.644765394613003195e+00 5.099665490057808670e-01 6.023622404731351354e-01
1.652995327109611834e+00 5.229652625325070803e-01 6.111335944498003103e-01
1.661227556914377290e+00 5.359577416934374616e-01 6.199088854841046103e-01
1.669462101999709347e+00 5.489439781594787071e-01 6.286881039327312237e-01
1.677698980158514486e+00 5.619239638537802950e-01 6.374712400796244127e-01
1.685938209004178123e+00 5.748976909503548116e-01 6.462582841373863962e-01
1.694179805970568164e+00 5.878651518726847325e-01 6.550492262486665718e-01
1.702423788312059205e+00 6.008263392923173241e-01 6.638440564875430772e-01
1.710670173103577385e+00 6.137812461274463338e-01 6.726427648608960252e-01
1.718918977240664780e+00 6.267298655414816899e-01 6.814453413097731893e-01
1.727170217439564670e+00 6.396721909416079876e-01 6.902517757107468066e-01
1.735423910237325895e+00 6.526082159773308744e-01 6.990620578772627214e-01
1.743680071991926317e+00 6.655379345390124435e-01 7.078761775609806461e-01
1.751938718882417145e+00 6.784613407563963028e-01 7.166941244531059851e-01
1.760199866909084143e+00 6.913784289971220964e-01 7.255158881857131092e-01
1.768463531893630147e+00 7.042891938652295902e-01 7.343414583330596379e-01
1.776729729479373576e+00 7.171936301996535423e-01 7.431708244128923946e-01
1.784998475131467144e+00 7.300917330727086929e-01 7.520039758877435920e-01
1.793269784137134559e+00 7.429834977885660940e-01 7.608409021662189131e-01
1.801543671605923658e+00 7.558689198817204469e-01 7.696815926042754885e-01
1.809820152469978849e+00 7.687479951154490010e-01 7.785260365064916588e-01
1.818099241484330220e+00 7.816207194802626823e-01 7.873742231273266334e-01
1.826380953227199511e+00 7.944870891923488943e-01 7.962261416723711571e-01
1.834665302100323636e+00 8.073471006920074355e-01 8.050817812995885170e-01
1.842952302329294412e+00 8.202007506420785354e-01 8.139411311205465571e-01
1.851241967963914936e+00 8.330480359263651158e-01 8.228041802016393680e-01
1.859534312878572182e+00 8.458889536480473925e-01 8.316709175652998720e-01
1.867829350772625130e+00 8.587235011280919261e-01 8.405413321912023061e-01
1.876127095170809334e+00 8.715516759036547878e-01 8.494154130174553785e-01
1.884427559423655696e+00 8.843734757264785085e-01 8.582931489417852111e-01
1.892730756707926343e+00 8.971888985612844758e-01 8.671745288227085124e-01
1.901036700027063375e+00 9.099979425841597802e-01 8.760595414806960912e-01
1.909345402211654052e+00 9.228006061809395089e-01 8.849481756993257120e-01
1.917656875919908854e+00 9.355968879455844878e-01 8.938404202264259579e-01
1.925971133638155308e+00 9.483867866785551382e-01 9.027362637752088803e-01
1.934288187681344695e+00 9.611703013851810029e-01 9.116356950253935443e-01
1.942608050193573188e+00 9.739474312740271644e-01 9.205387026243189164e-01
1.950930733148615648e+00 9.867181757552571097e-01 9.294452751880465380e-01
1.959256248350473406e+00 9.994825344389924870e-01 9.383554013024534290e-01
1.967584607433934929e+00 1.012240507133669976e+00 9.472690695243143333e-01
1.975915821865148914e+00 1.024992093844396379e+00 9.561862683823739717e-01
1.984249902942209820e+00 1.037737294771300611e+00 9.651069863784088598e-01
1.992586861795756059e+00 1.050476110307883904e+00 9.740312119882792441e-01
2.000926709389580171e+00 1.063208541039368793e+00 9.829589336629701579e-01
2.009269456521250774e+00 1.075934587741045778e+00 9.918901398296224858e-01
2.017615113822745165e+00 1.088654251376619975e+00 1.000824818892553703e+00
2.025963691761095031e+00 1.101367533096555551e+00 1.009762959234268287e+00
2.034315200639040810e+00 1.114074434236420386e+00 1.018704549216457700e+00
2.042669650595699160e+00 1.126774956315229170e+00 1.027649577180990370e+00
2.051027051607240193e+00 1.139469101033788068e+00 1.036598031450890245e+00
2.059387413487574481e+00 1.152156870273037370e+00 1.045549900331306903e+00
2.067750745889049835e+00 1.164838266092395713e+00 1.054505172110473232e+00
2.076117058303160512e+00 1.177513290728104067e+00 1.063463835060654228e+00
2.084486360061262644e+00 1.190181946591571283e+00 1.072425877439084907e+00
2.092858660335301657e+00 1.202844236267719191e+00 1.081391287488898012e+00
2.101233968138547237e+00 1.215500162513330151e+00 1.090360053440041277e+00
2.109612292326338956e+00 1.228149728255395035e+00 1.099332163510184701e+00
2.117993641596838117e+00 1.240792936589463658e+00 1.108307605905616944e+00
2.126378024491791141e+00 1.253429790777995656e+00 1.117286368822132170e+00
2.134765449397298287e+00 1.266060294248714690e+00 1.126268440445906016e+00
2.143155924544593027e+00 1.278684450592964206e+00 1.135253808954361787e+00
2.151549458010827198e+00 1.291302263564065411e+00 1.144242462517026437e+00
2.159946057719864587e+00 1.303913737075678592e+00 1.153234389296375673e+00
2.168345731443082958e+00 1.316518875200165750e+00 1.162229577448670392e+00
2.176748486800180515e+00 1.329117682166957692e+00 1.171228015124780919e+00
2.185154331259992588e+00 1.341710162360923775e+00 1.180229690471002790e+00
2.193563272141312304e+00 1.354296320320744540e+00 1.189234591629862337e+00
2.201975316613720146e+00 1.366876160737288126e+00 1.198242706740910934e+00
2.210390471698417958e+00 1.379449688451990674e+00 1.207254023941510601e+00
2.218808744269069599e+00 1.392016908455239843e+00 1.216268531367609596e+00
2.227230141052648715e+00 1.404577825884763653e+00 1.225286217154506696e+00
2.235654668630290054e+00 1.417132446024021775e+00 1.234307069437607263e+00
2.244082333438148336e+00 1.429680774300602586e+00 1.243331076353168418e+00
2.252513141768260674e+00 1.442222816284624010e+00 1.252358226039034683e+00
2.260947099769416102e+00 1.454758577687139454e+00 1.261388506635363838e+00
2.269384213448027765e+00 1.467288064358548194e+00 1.270421906285343461e+00
2.277824488669011771e+00 1.479811282287010865e+00 1.279458413135896810e+00
2.286267931156669597e+00 1.492328237596870055e+00 1.288498015338379821e+00
2.294714546495574936e+00 1.504838936547076234e+00 1.297540701049268330e+00
2.303164340131464538e+00 1.517343385529619448e+00 1.306586458430835762e+00
2.311617317372133051e+00 1.529841591067965467e+00 1.315635275651821479e+00
2.320073483388332303e+00 1.542333559815498578e+00 1.324687140888089143e+00
2.328532843214673687e+00 1.554819298553970386e+00 1.333742042323275978e+00
2.336995401750533663e+00 1.567298814191953493e+00 1.342799968149432921e+00
2.345461163760962808e+00 1.579772113763301844e+00 1.351860906567655451e+00
2.353930133877597974e+00 1.592239204425617505e+00 1.360924845788704651e+00
2.362402316599577556e+00 1.604700093458723442e+00 1.369991774033619381e+00
2.370877716294458537e+00 1.617154788263142517e+00 1.379061679534319573e+00
2.379356337199137084e+00 1.629603296358583364e+00 1.388134550534199985e+00
2.387838183420771809e+00 1.642045625382433149e+00 1.397210375288715500e+00
2.396323258937707035e+00 1.654481783088256330e+00 1.406289142065957121e+00
2.404811567600401379e+00 1.666911777344300516e+00 1.415370839147218396e+00
2.413303113132355460e+00 1.679335616132010101e+00 1.424455454827554535e+00
2.421797899131042708e+00 1.691753307544545892e+00 1.433542977416331299e+00
2.430295929068841509e+00 1.704164859785312069e+00 1.442633395237766125e+00
2.438797206293968678e+00 1.716570281166491352e+00 1.451726696631459701e+00
2.447301734031413822e+00 1.728969580107586168e+00 1.460822869952919545e+00
2.455809515383875929e+00 1.741362765133968260e+00 1.469921903574075372e+00
2.464320553332699504e+00 1.753749844875434949e+00 1.479023785883784914e+00
2.472834850738812928e+00 1.766130828064774061e+00 1.488128505288332182e+00
2.481352410343666381e+00 1.778505723536335736e+00 1.497236050211916858e+00
2.489873234770170640e+00 1.790874540224612010e+00 1.506346409097136130e+00
2.498397326523636774e+00 1.803237287162824609e+00 1.515459570405457423e+00
2.506924687992714951e+00 1.815593973481520518e+00 1.524575522617683365e+00
2.515455321450335013e+00 1.827944608407175098e+00 1.533694254234408749e+00
2.523989229054645733e+00 1.840289201260804086e+00 1.542815753776468846e+00
2.532526412849954500e+00 1.852627761456583144e+00 1.551940009785381047e+00
2.541066874767666128e+00 1.864960298500475178e+00 1.561067010823777412e+00
2.549610616627222104e+00 1.877286821988866983e+00 1.570196745475829436e+00
2.558157640137038946e+00 1.889607341607213442e+00 1.579329202347665939e+00
2.566707946895446124e+00 1.901921867128689936e+00 1.588464370067782294e+00
2.575261538391622640e+00 1.914230408412853413e+00 1.597602237287442328e+00
2.583818416006533170e+00 1.926532975404312120e+00 1.606742792681073118e+00
2.592378581013863315e+00 1.938829578131403775e+00 1.615886024946651567e+00
2.600942034580953521e+00 1.951120226704881278e+00 1.625031922806083884e+00
2.609508777769731669e+00 1.963404931316608870e+00 1.634180475005577948e+00
2.618078811537645212e+00 1.975683702238265393e+00 1.643331670316007687e+00
2.626652136738590659e+00 1.987956549820056429e+00 1.652485497533271008e+00
2.635228754123841721e+00 2.000223484489436210e+00 1.661641945478639970e+00
2.643808664342977011e+00 2.012484516749836860e+00 1.670801002999104279e+00
2.652391867944804194e+00 2.024739657179406738e+00 1.679962658967707245e+00
2.660978365378283694e+00 2.036988916429759211e+00 1.689126902283875076e+00
2.669568156993450625e+00 2.049232305224727657e+00 1.698293721873739726e+00
2.678161243042332718e+00 2.061469834359130893e+00 1.707463106690454202e+00
2.686757623679868701e+00 2.073701514697547932e+00 1.716635045714501207e+00
2.695357298964822679e+00 2.085927357173099850e+00 1.725809527953995337e+00
2.703960268860696292e+00 2.098147372786242748e+00 1.734986542444979074e+00
2.712566533236639543e+00 2.110361572603567382e+00 1.744166078251711216e+00
2.721176091868358515e+00 2.122569967756610332e+00 1.753348124466949320e+00
2.729788944439020426e+00 2.134772569440671841e+00 1.762532670212225927e+00
2.738405090540156017e+00 2.146969388913643861e+00 1.771719704638118564e+00
2.747024529672559279e+00 2.159160437494846985e+00 1.780909216924512428e+00
2.755647261247184066e+00 2.171345726563876255e+00 1.790101196280858398e+00
2.764273284586039381e+00 2.183525267559456307e+00 1.799295631946423280e+00
2.772902598923078887e+00 2.195699071978304495e+00 1.808492513190535389e+00
2.781535203405090417e+00 2.207867151374004688e+00 1.817691829312823248e+00
2.790171097092580155e+00 2.220029517355889492e+00 1.826893569643448734e+00
2.798810278960654152e+00 2.232186181587930029e+00 1.836097723543334004e+00
2.807452747899897627e+00 2.244337155787637705e+00 1.845304280404382657e+00
2.816098502717250263e+00 2.256482451724972194e+00 1.854513229649695560e+00
2.824747542136876621e+00 2.268622081221260522e+00 1.863724560733780899e+00
2.833399864801036561e+00 2.280756056148123712e+00 1.872938263142757798e+00
2.842055469270948986e+00 2.292884388426413622e+00 1.882154326394555488e+00
2.850714354027653386e+00 2.305007090025158689e+00 1.891372740039106271e+00
2.859376517472867363e+00 2.317124172960517203e+00 1.900593493658533806e+00
2.868041957929841512e+00 2.329235649294742139e+00 1.909816576867334748e+00
2.876710673644208960e+00 2.341341531135153087e+00 1.919041979312556157e+00
2.885382662784833130e+00 2.353441830633117515e+00 1.928269690673967807e+00
2.894057923444648406e+00 2.365536559983041798e+00 1.937499700664228275e+00
2.902736453641501235e+00 2.377625731421370237e+00 1.946731999029047033e+00
2.911418251318984129e+00 2.389709357225593855e+00 1.955966575547340547e+00
2.920103314347266110e+00 2.401787449713267630e+00 1.965203420031384596e+00
2.928791640523920936e+00 2.413860021241037490e+00 1.974442522326959937e+00
2.937483227574748668e+00 2.425927084203674422e+00 1.983683872313495078e+00
2.946178073154595456e+00 2.437988651033119680e+00 1.992927459904203058e+00
2.954876174848168002e+00 2.450044734197537100e+00 2.002173275046212897e+00
2.963577530170843577e+00 2.462095346200375623e+00 2.011421307720698604e+00
2.972282136569476929e+00 2.474140499579439378e+00 2.020671547943001300e+00
2.980989991423201868e+00 2.486180206905967971e+00 2.029923985762748018e+00
2.989701092044228403e+00 2.498214480783724323e+00 2.039178611263965379e+00
2.998415435678637220e+00 2.510243333848091840e+00 2.048435414565188850e+00
3.007133019507168825e+00 2.522266778765180018e+00 2.057694385819569316e+00
3.015853840646006034e+00 2.534284828230939812e+00 2.066955515214972117e+00
3.024577896147557343e+00 2.546297494970285680e+00 2.076218792974075189e+00
3.033305183001229643e+00 2.558304791736228267e+00 2.085484209354460106e+00
3.042035698134201382e+00 2.570306731309015102e+00 2.094751754648701780e+00
