x1 x2 x3 x4
1.570796326794896558e+00 3.926990816987241395e-01 5.235987755982988157e-01 1.047197551196597631e+00
1.578506421858600905e+00 4.063622488524641918e-01 5.328342748098632287e-01 1.049588789767588848e+00
1.586214975960331675e+00 4.200097493472910726e-01 5.420674623975694217e-01 1.051999547583324812e+00
1.593922050226446174e+00 4.336415190518002061e-01 5.512983218624883941e-01 1.054429844147782180e+00
1.601627705298638293e+00 4.472574962667904552e-01 5.605268371226516111e-01 1.056879696600436569e+00
1.609332001329125905e+00 4.608576217066892577e-01 5.697529925095428105e-01 1.059349119743158818e+00
1.617034997976075417e+00 4.744418384803764654e-01 5.789767727645330764e-01 1.061838126067531807e+00
1.624736754399262351e+00 4.880100920714309787e-01 5.881981630352624002e-01 1.064346725782560954e+00
1.632437329255965297e+00 5.015623303178240455e-01 5.974171488719702827e-01 1.066874926842757088e+00
1.640136780697089236e+00 5.150985033910833177e-01 6.066337162237788183e-01 1.069422734976565259e+00
1.647835166363516901e+00 5.286185637749506450e-01 6.158478514349301491e-01 1.071990153715118854e+00
1.655532543382684851e+00 5.421224662435577546e-01 6.250595412409815088e-01 1.074577184421292575e+00
1.663228968365379590e+00 5.556101678391422993e-01 6.342687727649605200e-01 1.077183826319034310e+00
1.670924497402753284e+00 5.690816278493275870e-01 6.434755335134834109e-01 1.079810076522952356e+00
1.678619186063554203e+00 5.825368077839887526e-01 6.526798113728384809e-01 1.082455930068135341e+00
1.686313089391568543e+00 5.959756713517266880e-01 6.618815946050372601e-01 1.085121379940184205e+00
1.694006261903271637e+00 6.093981844359739330e-01 6.710808718438368015e-01 1.087806417105434242e+00
1.701698757585683452e+00 6.228043150707516240e-01 6.802776320907343299e-01 1.090511030541347015e+00
1.709390629894426583e+00 6.361940334161017008e-01 6.894718647109374654e-01 1.093235207267050813e+00
1.717081931751981871e+00 6.495673117332128044e-01 6.986635594293115759e-01 1.095978932374010117e+00
1.724772715546140311e+00 6.629241243592632893e-01 7.078527063263080343e-01 1.098742189056804763e+00
1.732463033128644136e+00 6.762644476819996697e-01 7.170392958338736022e-01 1.101524958643999019e+00
1.740152935814017532e+00 6.895882601140715940e-01 7.262233187313451577e-01 1.104327220629082174e+00
1.747842474378580757e+00 7.028955420671432197e-01 7.354047661413303238e-01 1.107148952701462408e+00
1.755531699059644124e+00 7.161862759257995314e-01 7.445836295255771065e-01 1.109990130777495976e+00
1.763220659554880498e+00 7.294604460212673613e-01 7.537599006808340940e-01 1.112850729031534813e+00
1.770909405021869443e+00 7.427180386049692107e-01 7.629335717347036638e-01 1.115730719926974590e+00
1.778597984077811445e+00 7.559590418219277463e-01 7.721046351414893039e-01 1.118630074247288331e+00
1.786286444799408901e+00 7.691834456840398460e-01 7.812730836780398258e-01 1.121548761127028282e+00
1.793974834722907641e+00 7.823912420432360681e-01 7.904389104395923571e-01 1.124486748082780707e+00
1.801663200844298318e+00 7.955824245645436443e-01 7.996021088356147777e-01 1.127444001044060062e+00
1.809351589619671685e+00 8.087569886990686463e-01 8.087626725856505994e-01 1.130420484384125901e+00
1.817040046965725963e+00 8.219149316569144270e-01 8.179205957151671758e-01 1.133416160950709184e+00
1.824728618260420099e+00 8.350562523800509895e-01 8.270758725514097964e-01 1.136430992096635784e+00
1.832417348343772456e+00 8.481809515151510492e-01 8.362284977192617763e-01 1.139464937710331416e+00
1.840106281518798070e+00 8.612890313864075553e-01 8.453784661371137599e-01 1.142517956246197341e+00
1.847795461552583784e+00 8.743804959683473266e-01 8.545257730127424622e-01 1.145590004754843294e+00
1.855484931677494620e+00 8.874553508586543460e-01 8.636704138392007346e-01 1.148681038913167196e+00
1.863174734592510262e+00 9.005136032510167032e-01 8.728123843907208412e-01 1.151791013054269230e+00
1.870864912464686780e+00 9.135552619080098413e-01 8.819516807186313923e-01 1.154919880197188942e+00
1.878555506930740915e+00 9.265803371340296524e-01 8.910882991472897086e-01 1.158067592076456709e+00
1.886246559098751829e+00 9.395888407482868576e-01 9.002222362700310621e-01 1.161234099171447376e+00
1.893938109549978099e+00 9.525807860578749953e-01 9.093534889451357905e-01 1.164419350735528269e+00
1.901630198340786615e+00 9.655561878309242285e-01 9.184820542918148423e-01 1.167623294824991387e+00
1.909322865004689174e+00 9.785150622698501888e-01 9.276079296862163037e-01 1.170845878327761325e+00
1.917016148554482990e+00 9.914574269847110655e-01 9.367311127574525775e-01 1.174087046991870276e+00
1.924710087484493570e+00 1.004383300966680714e+00 9.458516013836497649e-01 1.177346745453692778e+00
1.932404719772914392e+00 1.017292704561649996e+00 9.549693936880205847e-01 1.180624917265931995e+00
1.940100082884241406e+00 1.030185659443963786e+00 9.640844880349611623e-01 1.183921504925350865e+00
1.947796213771798568e+00 1.043062188590304418e+00 9.731968830261729098e-01 1.187236449900241242e+00
1.955493148880351972e+00 1.055922316253730120e+00 9.823065774968104957e-01 1.190569692657624579e+00
1.963190924148807914e+00 1.068766067937874764e+00 9.914135705116562391e-01 1.193921172690178167e+00
1.970889575012993333e+00 1.081593470371320809e+00 1.000517861361322369e+00 1.197290828542880714e+00
1.978589136408513971e+00 1.094404551482148769e+00 1.009619449558480930e+00 1.200678597839373252e+00
1.986289642773689135e+00 1.107199340372674312e+00 1.018718334834123551e+00 1.204084417308030064e+00
1.993991128052557515e+00 1.119977867294376983e+00 1.027814517133849526e+00 1.207508222807732956e+00
2.001693625697953838e+00 1.132740163623029428e+00 1.036907996614185423e+00 1.210949949353348432e+00
2.009397168674651013e+00 1.145486261834031572e+00 1.045998773638934898e+00 1.214409531140899778e+00
2.017101789462566241e+00 1.158216195477957067e+00 1.055086848775559361e+00 1.217886901572434288e+00
2.024807520060029287e+00 1.170929999156317347e+00 1.064172222791591960e+00 1.221381993280578504e+00
2.032514391987106706e+00 1.183627708497546838e+00 1.073254896651082424e+00 1.224894738152781493e+00
2.040222436288982255e+00 1.196309360133217981e+00 1.082334871511075436e+00 1.228425067355241929e+00
2.047931683539390590e+00 1.208974991674486743e+00 1.091412148718122754e+00 1.231972911356517431e+00
2.055642163844101145e+00 1.221624641688776158e+00 1.100486729804827979e+00 1.235538199950811933e+00
